247.00,243.00,269.00,-14.00,18.00,12788,-7124,9380,-652,-491,440,
247.00,234.00,265.00,-13.00,16.00,0,0,1,-713,-109,-115,
245.00,241.00,269.00,-13.00,16.00,13420,-7980,7020,-863,-342,-211,
247.00,243.00,274.00,-13.00,15.00,13208,-8468,6660,-717,-60,91,
245.00,243.00,274.00,-13.00,16.00,13592,-8164,6092,-1241,-619,-17,
247.00,241.00,271.00,-13.00,16.00,13984,-8712,5472,-419,100,-242,
247.00,243.00,271.00,-13.00,16.00,13848,-8556,4588,-993,-6,380,
247.00,243.00,271.00,-13.00,16.00,14120,-8892,4544,-1149,-280,282,
245.00,241.00,274.00,-13.00,16.00,14092,-9052,3892,-782,68,600,
247.00,241.00,267.00,-13.00,16.00,13624,-9416,3288,-1258,693,544,1
206.00,235.00,281.00,-13.00,16.00,13297,-258,-258,18,-117,-221,
230.00,252.00,269.00,-13.00,15.00,13696,-8560,4740,-1056,-438,1023,
255.00,257.00,271.00,-13.00,17.00,13908,-9000,4544,-459,149,-255,
223.00,249.00,308.00,-12.00,16.00,14216,-8788,3168,-1229,-315,-72,
249.00,252.00,276.00,-13.00,17.00,14256,-8468,3216,-600,-84,569,
217.00,243.00,265.00,-13.00,15.00,14336,-8612,2236,-429,-480,733,
220.00,247.00,295.00,-14.00,15.00,14132,-8976,2096,-521,331,1886,
212.00,239.00,269.00,-13.00,16.00,13976,-9184,1748,-909,-627,182,
220.00,239.00,269.00,-13.00,16.00,13452,-10228,380,-1099,-516,383,
220.00,241.00,269.00,-13.00,15.00,14088,-10704,-888,-1862,-963,-800,1
241.00,227.00,271.00,-13.00,15.00,11696,-6172,10836,-849,-499,304,
237.00,243.00,269.00,-13.00,16.00,12140,-6344,9604,-913,-1099,891,
234.00,234.00,261.00,-13.00,16.00,11936,-7324,8804,-262,-35,541,
241.00,243.00,271.00,-13.00,16.00,12552,-7748,8084,-1208,-310,561,
239.00,239.00,263.00,-13.00,16.00,13060,-7896,7700,-906,-244,237,<
239.00,239.00,271.00,-13.00,16.00,13008,-9096,6824,-1018,252,7,
241.00,237.00,267.00,-13.00,16.00,12912,-8992,6280,-914,-7,387,
239.00,239.00,269.00,-13.00,16.00,13092,-9108,5824,-1295,-336,797,
241.00,241.00,269.00,-13.00,16.00,12952,-9600,4740,-941,-179,1,
241.00,239.00,269.00,-13.00,16.00,13244,-9524,3028,-1275,-112,657,1
245.00,241.00,278.00,-13.00,14.00,13048,-7308,8140,-1565,-61,-215,
234.00,223.00,252.00,-12.00,16.00,13148,-7832,6552,-1189,-153,-18,
243.00,283.00,245.00,-13.00,16.00,13544,-7968,6288,-487,-76,910,
243.00,237.00,269.00,-13.00,16.00,14136,-9208,5568,-2243,-871,-1047,
222.00,225.00,285.00,-13.00,18.00,14796,-8700,3520,-1389,-893,860,
214.00,239.00,263.00,-13.00,15.00,14468,-8460,3044,-930,758,560,
230.00,241.00,259.00,-13.00,15.00,14124,-8616,3280,-713,21,420,
234.00,241.00,274.00,-13.00,16.00,14012,-9148,2284,-1510,-261,442,
239.00,243.00,269.00,-13.00,15.00,13904,-8784,1916,-1752,8,-402,
245.00,247.00,276.00,-13.00,15.00,14116,-9844,-1332,-2770,-763,125,1
237.00,269.00,281.00,14.00,-13.00,16360,-4780,3316,-1160,468,-266,
241.00,269.00,281.00,14.00,-13.00,16024,-4292,3088,-944,-824,505,
237.00,267.00,283.00,14.00,-13.00,16016,-6600,624,-1404,-1071,635,
237.00,269.00,281.00,14.00,-13.00,15580,-7020,-544,-1438,-1199,565,
239.00,269.00,278.00,14.00,-13.00,14900,-7420,-1912,-1532,-95,440,
239.00,271.00,281.00,14.00,-13.00,14724,-8588,-3636,-896,244,882,
235.00,269.00,281.00,14.00,-13.00,14116,-7504,-2764,-1493,-169,209,
237.00,267.00,281.00,14.00,-13.00,-1493,-169,209,-1402,-99,216,
239.00,269.00,283.00,14.00,-13.00,13804,-8236,-4924,-1776,-668,-536,
239.00,267.00,281.00,14.00,-13.00,13792,-7032,-7580,-1145,-884,1725,1
237.00,267.00,278.00,13.00,-14.00,16388,-2596,4856,-728,340,1125,
237.00,267.00,276.00,13.00,-14.00,16268,-3376,4756,-871,-201,250,
237.00,267.00,276.00,13.00,-14.00,16108,-4148,3940,-1221,-378,385,
237.00,263.00,274.00,13.00,-14.00,15984,-5324,2304,-1656,-534,987,
237.00,265.00,278.00,9.00,-17.00,16068,-6272,1328,-633,-438,381,
239.00,249.00,265.00,9.00,-16.00,16152,-6668,696,-1069,-304,580,
249.00,274.00,276.00,12.00,-15.00,15260,-6992,-860,-1564,-277,429,
237.00,257.00,281.00,11.00,-15.00,15240,-7512,-1924,-1513,-775,422,
239.00,269.00,290.00,13.00,-15.00,14768,-7324,-2428,14768,-7324,-2428,
239.00,265.00,269.00,12.00,-15.00,14764,-8232,-4496,-989,357,490,1
241.00,235.00,252.00,15.00,-13.00,15620,-3896,4288,-382,-300,640,
227.00,265.00,278.00,14.00,-13.00,15872,-3916,4244,-585,-249,464,
239.00,267.00,274.00,15.00,-13.00,16136,-4944,3692,-1207,-411,-57,
235.00,265.00,269.00,14.00,-13.00,16012,-5080,2940,-822,-830,428,
237.00,265.00,274.00,14.00,-13.00,15912,-5172,2776,-1227,-235,48,
235.00,263.00,274.00,14.00,-13.00,15756,-6428,48,-1248,509,731,
241.00,265.00,271.00,14.00,-13.00,15340,-6932,1156,-1114,-133,1176,
235.00,265.00,276.00,14.00,-13.00,15236,-7524,1468,-1239,24,1007,
237.00,263.00,271.00,13.00,-13.00,14668,-7952,148,-1098,-329,913,
